food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,total_mass_g,Caloric Value_per_100g,Fat_per_100g,Saturated Fats_per_100g,Monounsaturated Fats_per_100g,Polyunsaturated Fats_per_100g,Carbohydrates_per_100g,Sugars_per_100g,Protein_per_100g,Dietary Fiber_per_100g,Cholesterol_per_100g,Sodium_per_100g,Water_per_100g,Vitamin A_per_100g,Vitamin B1_per_100g,Vitamin B11_per_100g,Vitamin B12_per_100g,Vitamin B2_per_100g,Vitamin B3_per_100g,Vitamin B5_per_100g,Vitamin B6_per_100g,Vitamin C_per_100g,Vitamin D_per_100g,Vitamin E_per_100g,Vitamin K_per_100g,Calcium_per_100g,Copper_per_100g,Iron_per_100g,Magnesium_per_100g,Manganese_per_100g,Phosphorus_per_100g,Potassium_per_100g,Selenium_per_100g,Zinc_per_100g
cream cheese,51,5,2.9,1.3,0.2,0.8,0.5,0.9,0,14.6,0.016,7.6,0.2,0.033,0.064,0.092,0.097,0.084,0.052,0.096,0.004,0,0,0.1,0.008,14.1,0.082,0.027,1.3,0.091,15.5,19.1,0.039,7.07,14.3,356.6433566,34.96503497,20.27972028,9.090909091,1.398601399,5.594405594,3.496503497,6.293706294,0,102.0979021,0.111888112,53.14685315,1.398601399,0.230769231,0.447552448,0.643356643,0.678321678,0.587412587,0.363636364,0.671328671,0.027972028,0,0,0.699300699,0.055944056,98.6013986,0.573426573,0.188811189,9.090909091,0.636363636,108.3916084,133.5664336,0.272727273
neufchatel cheese,215,19.4,10.9,4.9,0.8,3.1,2.7,7.8,0,62.9,0.3,53.6,0.2,0.099,0.079,0.09,0.1,0.2,0.5,0.078,0,0,0.3,0.045,99.5,0.034,0.1,8.5,0.088,117.3,129.2,0.054,0.7,130.1,83.9,256.2574493,23.1227652,12.99165673,5.840286055,0.953516091,3.694874851,3.218116806,9.296781883,0,74.97020262,0.357568534,63.88557807,0.238379023,0.117997616,0.094159714,0.10727056,0.119189511,0.238379023,0.595947557,0.092967819,0,0,0.357568534,0.05363528,118.5935638,0.040524434,0.119189511,10.13110846,0.10488677,139.8092968,153.9928486,0.064362336,0.834326579
requeijao cremoso light catupiry,49,3.6,2.3,0.9,0,0.9,3.4,0.8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,5.3,924.5283019,67.9245283,43.39622642,16.98113208,0,16.98113208,64.1509434,15.09433962,1.886792453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ricotta cheese,30,2,1.3,0.5,0.002,1.5,0.091,1.5,0,9.8,0.017,14.7,0.075,0.019,0.079,0.091,0.027,0.041,0.016,0.007,0.006,0,0.001,0.011,0.097,41.2,0.097,0.096,4,0.024,30.8,43.8,0.035,5.196,19.7,152.284264,10.15228426,6.598984772,2.538071066,0.010152284,7.614213198,0.461928934,7.614213198,0,49.74619289,0.086294416,74.61928934,0.38071066,0.096446701,0.401015228,0.461928934,0.137055838,0.208121827,0.081218274,0.035532995,0.030456853,0,0.005076142,0.055837563,0.492385787,209.1370558,0.492385787,0.487309645,20.30456853,0.121827411,156.3451777,222.3350254,0.177664975
cream cheese low fat,30,2.3,1.4,0.6,0.042,1.2,0.9,1.2,0,8.1,0.046,10,0.016,0.08,0.062,0.049,0.026,0.08,0.1,0.003,0,0.036,0.009,0.019,22.2,0.072,0.008,1.2,0.098,22.8,37.1,0.034,0.053,27.007,14.7,204.0816327,15.6462585,9.523809524,4.081632653,0.285714286,8.163265306,6.12244898,8.163265306,0,55.10204082,0.31292517,68.02721088,0.108843537,0.544217687,0.421768707,0.333333333,0.176870748,0.544217687,0.680272109,0.020408163,0,0.244897959,0.06122449,0.129251701,151.0204082,0.489795918,0.054421769,8.163265306,0.666666667,155.1020408,252.3809524,0.231292517,0.360544218
cream cheese fat free,19,0.2,0.1,0.091,0.075,1.4,1,2.8,0,2.2,0.1,12.9,0.063,0.02,0.089,0.092,0.021,0.025,0.2,0.038,0,0,0.049,0.059,63.2,0.039,0.053,4,0.028,94.1,50,0.013,0.3,67.679,17.3,109.8265896,1.156069364,0.578034682,0.526011561,0.433526012,8.092485549,5.780346821,16.1849711,0,12.71676301,0.578034682,74.56647399,0.36416185,0.115606936,0.514450867,0.531791908,0.121387283,0.144508671,1.156069364,0.219653179,0,0,0.283236994,0.341040462,365.3179191,0.225433526,0.306358382,23.12138728,0.161849711,543.9306358,289.017341,0.075144509,1.734104046
gruyere cheese,116,9.1,5.3,2.8,0.5,0.1,0.1,8.3,0,30.8,0.2,9.3,0.061,0.021,0.072,0.078,0.004,0.043,0.2,0.051,0,0.034,0.035,0.048,283.1,0.033,0.094,10.1,0.002,169.4,22.7,0.079,1.1,300.694,26.8,432.8358209,33.95522388,19.7761194,10.44776119,1.865671642,0.373134328,0.373134328,30.97014925,0,114.9253731,0.746268657,34.70149254,0.22761194,0.078358209,0.268656716,0.291044776,0.014925373,0.160447761,0.746268657,0.190298507,0,0.126865672,0.130597015,0.179104478,1056.343284,0.123134328,0.350746269,37.68656716,0.007462687,632.0895522,84.70149254,0.294776119,4.104477612
cheddar cheese,113,9.3,5.3,2.6,0.3,0.9,0.1,6.4,0,27.7,0.2,10.3,0.054,0.031,0.005,0.073,0.1,0.01,0.1,0.005,0,0.06,0.2,0.035,198.8,0.099,0.077,7.6,0.063,127.4,21.3,0.009,1,215.53,26.9,420.0743494,34.57249071,19.70260223,9.665427509,1.115241636,3.345724907,0.371747212,23.79182156,0,102.9739777,0.743494424,38.28996283,0.200743494,0.115241636,0.018587361,0.271375465,0.371747212,0.037174721,0.371747212,0.018587361,0,0.223048327,0.743494424,0.130111524,739.0334572,0.36802974,0.286245353,28.2527881,0.234200743,473.605948,79.18215613,0.033457249,3.717472119
parmesan cheese,71,4.5,2.7,1.4,0.1,0.6,0.046,6.4,0,12.2,0.2,5.4,0.067,0.062,0.099,0.059,0.057,0.039,0.06,0.066,0,0.095,0.018,0.021,213.1,0.051,0.1,7.9,0.073,124.9,16.6,0.045,0.5,224.777,16.9,420.1183432,26.62721893,15.97633136,8.284023669,0.591715976,3.550295858,0.272189349,37.86982249,0,72.18934911,1.183431953,31.95266272,0.396449704,0.366863905,0.585798817,0.349112426,0.337278107,0.230769231,0.355029586,0.390532544,0,0.562130178,0.106508876,0.124260355,1260.946746,0.301775148,0.591715976,46.74556213,0.431952663,739.0532544,98.22485207,0.266272189,2.958579882
romano cheese,19,1.3,0.9,0.4,0.035,0.2,0.088,1.6,0,5.2,0.008,1.5,0.064,0.058,0.026,0.045,0.059,0.055,0.025,0.029,0,0.073,0.078,0.004,53.2,0.046,0.03,2.1,0.002,38,4.3,0.087,0.1,56.38,4.6,413.0434783,28.26086957,19.56521739,8.695652174,0.760869565,4.347826087,1.913043478,34.7826087,0,113.0434783,0.173913043,32.60869565,1.391304348,1.260869565,0.565217391,0.97826087,1.282608696,1.195652174,0.543478261,0.630434783,0,1.586956522,1.695652174,0.086956522,1156.521739,1,0.652173913,45.65217391,0.043478261,826.0869565,93.47826087,1.891304348,2.173913043
parmesan cheese grated,21,1.4,0.8,0.4,0.036,0.7,0.075,1.4,0,4.3,0.043,1.1,0.017,0.003,0.015,0.091,0.081,0.077,0.057,0.077,0.007,0,0.002,0.014,0.012,42.7,0.094,0.094,1.7,0.026,31.4,9,0.038,3.745,4.6,456.5217391,30.43478261,17.39130435,8.695652174,0.782608696,15.2173913,1.630434783,30.43478261,0,93.47826087,0.934782609,23.91304348,0.369565217,0.065217391,0.326086957,1.97826087,1.760869565,1.673913043,1.239130435,1.673913043,0.152173913,0,0.043478261,0.304347826,0.260869565,928.2608696,2.043478261,2.043478261,36.95652174,0.565217391,682.6086957,195.6521739,0.826086957
port salut cheese,465,37.2,22,12.3,1,0.8,0.8,31.4,0,162.4,0.7,60,0.4,0.012,0.035,0.067,0.3,0.019,0.3,0.08,0,0.057,0.3,0.094,858,0.062,0.6,31.7,0.095,475.2,179.5,0.015,3.4,928.4,129.4,359.3508501,28.74806801,17.0015456,9.505409583,0.772797527,0.618238022,0.618238022,24.26584235,0,125.5023184,0.540958269,46.36785162,0.309119011,0.00927357,0.027047913,0.051777434,0.231839258,0.014683153,0.231839258,0.061823802,0,0.044049459,0.231839258,0.072642968,663.0602782,0.047913447,0.463678516,24.49768161,0.073415765,367.2333849,138.7171561,0.011591963,2.627511592
swiss cheese,98,7.7,4.6,2,0.3,0.4,0,6.7,0,23.3,0.057,9.4,0.069,0.008,0.027,0.008,0.018,0.058,0.1,0.036,0,0.016,0.2,0.056,222.5,0.026,0.024,8.3,0.062,143.5,18,0.031,1.1,237.396,24.2,404.9586777,31.81818182,19.00826446,8.26446281,1.239669421,1.652892562,0,27.68595041,0,96.28099174,0.23553719,38.84297521,0.285123967,0.033057851,0.111570248,0.033057851,0.074380165,0.239669421,0.41322314,0.148760331,0,0.066115702,0.826446281,0.231404959,919.4214876,0.107438017,0.099173554,34.29752066,0.256198347,592.9752066,74.38016529,0.128099174,4.545454545
goat cheese hard,128,10.1,7,2.3,0.2,0.6,0.6,8.6,0,29.7,0.076,8.2,0.1,0.071,0.035,0.093,0.3,0.7,0.1,0.007,0,0.044,0.083,0.039,253.3,0.2,0.5,15.3,0.088,206.3,13.6,0.082,0.4,273.2,27.5,465.4545455,36.72727273,25.45454545,8.363636364,0.727272727,2.181818182,2.181818182,31.27272727,0,108,0.276363636,29.81818182,0.363636364,0.258181818,0.127272727,0.338181818,1.090909091,2.545454545,0.363636364,0.025454545,0,0.16,0.301818182,0.141818182,921.0909091,0.727272727,1.818181818,55.63636364,0.32,750.1818182,49.45454545,0.298181818,1.454545455
gouda cheese,100,7.7,4.9,2.2,0.2,0.6,0.6,7,0,31.9,0.2,11.6,0.053,0.016,0.042,0.01,0.009,0.081,0.011,0.053,0,0.04,0.026,0.074,196,0.013,0.06,8.1,0.08,152.9,33.9,0.05,1.1,211.424,26.9,371.7472119,28.62453532,18.21561338,8.178438662,0.743494424,2.230483271,2.230483271,26.02230483,0,118.5873606,0.743494424,43.12267658,0.197026022,0.059479554,0.156133829,0.037174721,0.033457249,0.301115242,0.040892193,0.197026022,0,0.148698885,0.096654275,0.275092937,728.6245353,0.048327138,0.223048327,30.11152416,0.29739777,568.401487,126.0223048,0.185873606,4.089219331
pepper jack cheese lucerne,75,6,4,0,0,0,0,5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,11,681.8181818,54.54545455,36.36363636,0,0,0,0,45.45454545,22.72727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caraway cheese,106,8.3,5.3,2.3,0.2,0.9,0,7.1,0,26.3,0.2,11.1,0.014,0.077,0.066,0.038,0.1,0.04,0.022,0.086,0,0,0,0,190.5,0.007,0.2,6.2,0.002,138.7,26.3,0.009,0.8,207.072,27.4,386.8613139,30.2919708,19.34306569,8.394160584,0.729927007,3.284671533,0,25.91240876,0,95.98540146,0.729927007,40.51094891,0.051094891,0.281021898,0.240875912,0.138686131,0.364963504,0.145985401,0.080291971,0.313868613,0,0,0,0,695.2554745,0.025547445,0.729927007,22.62773723,0.00729927,506.2043796,95.98540146,0.032846715,2.919708029
gjetost cheese,1058,67,43.5,17.9,2.1,96.8,0,21.9,0,213.4,1.4,30.5,0.8,0.7,0.076,0.047,3.1,1.8,7.6,0.6,0,0,0,0,908,0.2,1.2,158.9,0.035,1007.9,3198.4,0.039,2.6,1095.7,216.2,489.3617021,30.98982424,20.12025902,8.279370953,0.971322849,44.773358,0,10.12950971,0,98.70490287,0.647548566,14.10730805,0.370027752,0.323774283,0.035152636,0.02173913,1.433857539,0.832562442,3.515263645,0.277520814,0,0,0,0,419.9814986,0.092506938,0.555041628,73.49676226,0.016188714,466.1887142,1479.370953,0.018038853,1.202590194
tilsit cheese,136,10.4,6.7,2.9,0.3,0.8,0,9.8,0,40.8,0.3,17.1,0.057,0.036,0.072,0.058,0.1,0.068,0.1,0.036,0,0,0,0,280,0.033,0.01,5.2,0.086,200,26,0.026,1.4,301.069,38.1,356.9553806,27.29658793,17.58530184,7.611548556,0.787401575,2.099737533,0,25.72178478,0,107.0866142,0.787401575,44.88188976,0.149606299,0.094488189,0.188976378,0.152230971,0.262467192,0.17847769,0.262467192,0.094488189,0,0,0,0,734.9081365,0.086614173,0.026246719,13.64829396,0.225721785,524.9343832,68.24146982,0.06824147,3.674540682
goat cheese,103,8.4,5.8,1.9,0.2,0.009,0.031,6.1,0,22.4,0.1,12.9,0.1,0.013,0.011,0.086,0.2,0.3,0.03,0.087,0,0.078,0.082,0.046,84.3,0.2,0.5,8.2,0.008,106.1,44.7,0.005,0.2,99.494,27.409,375.7889744,30.64686782,21.16093254,6.932029625,0.729687329,0.03283593,0.113101536,22.25546353,0,81.72498085,0.364843664,47.06483272,0.364843664,0.047429676,0.040132803,0.313765551,0.729687329,1.094530993,0.109453099,0.317413988,0,0.284578058,0.299171805,0.167828086,307.5632092,0.729687329,1.824218322,29.91718049,0.029187493,387.099128,163.085118,0.018242183,0.729687329
brick cheese,111,8.9,5.6,2.6,0.2,0.8,0.2,7,0,28.2,0.2,12.3,0.016,0.042,0.059,0.074,0.1,0.085,0.086,0.033,0,0.042,0.072,0.064,202.2,0.093,0.1,7.2,0.085,135.3,40.8,0.056,0.8,219.002,29,382.7586207,30.68965517,19.31034483,8.965517241,0.689655172,2.75862069,0.689655172,24.13793103,0,97.24137931,0.689655172,42.4137931,0.055172414,0.144827586,0.203448276,0.255172414,0.344827586,0.293103448,0.296551724,0.113793103,0,0.144827586,0.248275862,0.220689655,697.2413793,0.320689655,0.344827586,24.82758621,0.293103448,466.5517241,140.6896552,0.193103448,2.75862069
asadero cheese,402,31.9,20.3,9.1,1,3.2,3.2,25.5,0,118.7,0.7,47.6,0.098,0.034,0.005,0.043,0.3,0.2,0.3,0.024,0,0.071,0.3,0.02,746.9,0.067,0.6,29.4,0.024,500.6,97.2,0.096,3.4,808.175,108.2,371.5341959,29.48243993,18.76155268,8.410351201,0.924214418,2.957486137,2.957486137,23.56746765,0,109.7042514,0.646950092,43.99260628,0.090573013,0.03142329,0.004621072,0.03974122,0.277264325,0.184842884,0.277264325,0.022181146,0,0.065619224,0.277264325,0.018484288,690.2957486,0.061922366,0.554528651,27.17190388,0.022181146,462.6617375,89.8336414,0.088724584,3.14232902
camembert cheese,90,7.3,4.6,2.1,0.2,0.1,0.1,5.9,0,21.6,0.3,15.5,0.091,0.054,0.043,0.034,0.1,0.2,0.4,0.017,0,0.093,0.014,0.024,116.4,0.046,0.063,6,0.075,104.1,56.1,0.035,0.7,129.826,28.8,312.5,25.34722222,15.97222222,7.291666667,0.694444444,0.347222222,0.347222222,20.48611111,0,75,1.041666667,53.81944444,0.315972222,0.1875,0.149305556,0.118055556,0.347222222,0.694444444,1.388888889,0.059027778,0,0.322916667,0.048611111,0.083333333,404.1666667,0.159722222,0.21875,20.83333333,0.260416667,361.4583333,194.7916667,0.121527778,2.430555556
provolone cheese reduced fat,310,19.9,12.8,5.5,0.6,4,0.6,27.9,0,62.2,1,57.2,0.2,0.05,0.063,0.079,0.4,0.2,0.5,0.061,0,0.027,0.2,0.076,854.3,0.077,0.6,31.6,0.096,560.5,155.9,0.054,3.6,906.9,109,284.4036697,18.25688073,11.74311927,5.04587156,0.550458716,3.669724771,0.550458716,25.59633028,0,57.06422018,0.917431193,52.47706422,0.183486239,0.04587156,0.057798165,0.072477064,0.366972477,0.183486239,0.458715596,0.055963303,0,0.024770642,0.183486239,0.069724771,783.7614679,0.070642202,0.550458716,28.99082569,0.088073394,514.2201835,143.0275229,0.049541284,3.302752294
roquefort cheese,314,26,16.4,7.2,1.1,1.7,0,18.3,0,76.5,1.5,33.5,0.2,0.092,0.037,0.002,0.5,0.6,1.5,0.1,0,0,0,0,562.7,0.005,0.5,25.5,0.036,333.2,77.4,0.081,1.8,609.4,79.5,394.9685535,32.70440252,20.62893082,9.056603774,1.383647799,2.13836478,0,23.01886792,0,96.22641509,1.886792453,42.13836478,0.251572327,0.11572327,0.046540881,0.002515723,0.628930818,0.754716981,1.886792453,0.125786164,0,0,0,0,707.7987421,0.006289308,0.628930818,32.0754717,0.045283019,419.1194969,97.35849057,0.101886792,2.264150943
queso blanco cheese,366,28.7,16.1,7.6,1.4,3,2.1,24,0,82.6,0.8,57.5,0.2,0.097,0,0.022,0.3,0.038,0.5,0.1,0,0.05,0.6,0.061,814.2,0.098,0.2,34.2,0.067,551.1,148.7,0.016,3.6,870.3,113.2,323.3215548,25.35335689,14.22261484,6.713780919,1.236749117,2.650176678,1.855123675,21.20141343,0,72.96819788,0.706713781,50.795053,0.176678445,0.085689046,0,0.019434629,0.265017668,0.033568905,0.441696113,0.088339223,0,0.044169611,0.530035336,0.053886926,719.2579505,0.086572438,0.176678445,30.21201413,0.059187279,486.8374558,131.360424,0.014134276,3.180212014
queso seco cheese,315,23.6,13.3,6.2,1.2,2,0.5,23.8,0,75.7,1.8,40.9,0.2,0.038,0,0.01,0.2,0.027,0.4,0.049,0,0.032,0.5,0.045,641.2,0.091,0.2,26.2,0.083,460.8,112.5,0.048,3.2,691,90.3,348.8372093,26.1351052,14.72868217,6.866002215,1.328903654,2.214839424,0.553709856,26.35658915,0,83.8316722,1.993355482,45.29346622,0.221483942,0.042081949,0,0.011074197,0.221483942,0.029900332,0.442967885,0.054263566,0,0.035437431,0.553709856,0.049833887,710.0775194,0.100775194,0.221483942,29.01439646,0.091915836,510.2990033,124.5847176,0.053156146,3.543743079
goat cheese soft,75,6,4.1,1.4,0.1,0,0.3,5.2,0,13,0.1,17.2,0.049,0.057,0.037,0.012,0.1,0.1,0.2,0.036,0,0.092,0.01,0.093,39.6,0.2,0.5,4.5,0.026,72.4,7.4,0.014,0.3,51.311,28.4,264.084507,21.12676056,14.43661972,4.929577465,0.352112676,0,1.056338028,18.30985915,0,45.77464789,0.352112676,60.56338028,0.172535211,0.200704225,0.13028169,0.042253521,0.352112676,0.352112676,0.704225352,0.126760563,0,0.323943662,0.035211268,0.327464789,139.4366197,0.704225352,1.76056338,15.84507042,0.091549296,254.9295775,26.05633803,0.049295775,1.056338028
mozzarella cheese,90,6.6,4.2,2,0.2,0.7,0,6.7,0,23.7,0.1,15,0.037,0.088,0.088,0.081,0.071,0.013,0.089,0.016,0,0.044,0.001,0.008,151.5,0.057,0.1,6,0.019,106.2,22.8,0.047,0.9,165.648,29,310.3448276,22.75862069,14.48275862,6.896551724,0.689655172,2.413793103,0,23.10344828,0,81.72413793,0.344827586,51.72413793,0.127586207,0.303448276,0.303448276,0.279310345,0.244827586,0.044827586,0.306896552,0.055172414,0,0.151724138,0.003448276,0.027586207,522.4137931,0.196551724,0.344827586,20.68965517,0.065517241,366.2068966,78.62068966,0.162068966,3.103448276
chihuahua cheese,494,39.2,24.9,11.1,1.2,7.3,7.3,28.5,0,138.6,0.8,51.7,0.007,0.053,0.031,0.082,0.3,0.2,0.4,0.061,0,0.089,0.3,0.011,859.3,0.03,0.6,30.4,0.047,583.4,68.6,0.071,4.6,934.983,126.7,389.8973954,30.93922652,19.65272297,8.760852407,0.947119179,5.761641673,5.761641673,22.49408051,0,109.3922652,0.631412786,40.8050513,0.005524862,0.041831097,0.024467245,0.064719811,0.236779795,0.157853197,0.315706393,0.048145225,0,0.070244672,0.236779795,0.008681926,678.2162589,0.023677979,0.47355959,23.99368587,0.037095501,460.4577743,54.14364641,0.056037885,3.63062352
limburger cheese,98,8.2,5,2.6,0.1,0.1,0.1,6,0,27,0.2,14.5,0.1,0.021,0.095,0.082,0.2,0.009,0.4,0.002,0,0.004,0.055,0.046,149.1,0.036,0.011,6.3,0.054,117.9,38.4,0.029,0.6,163.575,28.8,340.2777778,28.47222222,17.36111111,9.027777778,0.347222222,0.347222222,0.347222222,20.83333333,0,93.75,0.694444444,50.34722222,0.347222222,0.072916667,0.329861111,0.284722222,0.694444444,0.03125,1.388888889,0.006944444,0,0.013888889,0.190972222,0.159722222,517.7083333,0.125,0.038194444,21.875,0.1875,409.375,133.3333333,0.100694444,2.083333333
muenster cheese,486,39.7,25.2,11.5,0.9,1.5,1.5,30.9,0,126.7,0.8,55.1,0.4,0.016,0.009,0.085,0.4,0.1,0.3,0.072,0,0.065,0.3,0.056,946.4,0.008,0.5,35.6,0.093,617.8,176.9,0.059,3.7,1019.4,127.2,382.0754717,31.21069182,19.81132075,9.040880503,0.70754717,1.179245283,1.179245283,24.29245283,0,99.60691824,0.628930818,43.31761006,0.314465409,0.012578616,0.007075472,0.066823899,0.314465409,0.078616352,0.235849057,0.056603774,0,0.051100629,0.235849057,0.044025157,744.0251572,0.006289308,0.393081761,27.98742138,0.073113208,485.6918239,139.072327,0.046383648,2.908805031
queso fresco cheese,365,29.1,15.8,7.3,1.3,3.6,2.8,22.1,0,84.2,0.9,62.7,0.3,0.019,0.029,0.076,0.2,0.05,0.4,0.06,0,0.055,0.5,0.087,690.5,0.025,0.2,29.3,0.053,469.7,157.4,0.073,3.1,745.8,117.5,310.6382979,24.76595745,13.44680851,6.212765957,1.106382979,3.063829787,2.382978723,18.80851064,0,71.65957447,0.765957447,53.36170213,0.255319149,0.016170213,0.024680851,0.064680851,0.170212766,0.042553191,0.340425532,0.05106383,0,0.046808511,0.425531915,0.074042553,587.6595745,0.021276596,0.170212766,24.93617021,0.045106383,399.7446809,133.9574468,0.06212766,2.638297872
brie cheese,100,8.3,5.2,2.4,0.2,0.1,0.1,6.2,0,30,0.2,14.5,0.014,0.04,0.025,0.073,0.2,0.1,0.2,0.001,0,0.068,0.078,0.056,55.2,0.015,0.2,6,0.047,56.4,45.6,0.04,0.7,70.096,29.1,343.6426117,28.52233677,17.86941581,8.24742268,0.687285223,0.343642612,0.343642612,21.30584192,0,103.0927835,0.687285223,49.82817869,0.048109966,0.137457045,0.085910653,0.250859107,0.687285223,0.343642612,0.687285223,0.003436426,0,0.233676976,0.268041237,0.192439863,189.6907216,0.051546392,0.687285223,20.6185567,0.161512027,193.814433,156.7010309,0.137457045,2.405498282
pimento cheese,525,43.7,27.5,12.5,1.4,2.4,0.9,31,0.1,131.6,2,54.7,0.3,0.023,0.043,0.016,0.5,0.1,0.7,0.011,3.2,0.099,0.4,0.086,859.6,0.032,0.6,30.8,0.031,1041.6,226.8,0.089,4.2,940.9,131.8,398.3308042,33.15629742,20.86494689,9.484066768,1.062215478,1.820940819,0.682852807,23.52048558,0.075872534,99.84825493,1.517450683,41.50227618,0.227617602,0.017450683,0.03262519,0.012139605,0.379362671,0.075872534,0.531107739,0.008345979,2.427921093,0.075113809,0.303490137,0.065250379,652.2003035,0.024279211,0.455235205,23.36874052,0.023520486,790.2883156,172.0789074,0.067526555,3.186646434
mexican cheese,316,21.7,13,5.6,0.8,3.8,0.6,27.7,0,69.4,0.9,54,0.2,0.091,0.027,0.05,0.3,0.017,0,0.04,0,0.087,0.2,0.073,1283.5,0.034,0.1,39.2,0,653,104.2,0.006,4.8,1337,107.2,294.7761194,20.24253731,12.12686567,5.223880597,0.746268657,3.544776119,0.559701493,25.83955224,0,64.73880597,0.839552239,50.37313433,0.186567164,0.08488806,0.025186567,0.046641791,0.279850746,0.015858209,0,0.037313433,0,0.081156716,0.186567164,0.068097015,1197.294776,0.031716418,0.093283582,36.56716418,0,609.141791,97.20149254,0.005597015,4.47761194
feta cheese,80,6.4,4,1.4,0.2,1.2,0,4.3,0,26.7,0.3,16.6,0.014,0.063,0.021,0.076,0.3,0.3,0.3,0.1,0,0.06,0.036,0.057,147.9,0.012,0.2,5.7,0.063,101.1,18.6,0.005,0.9,160.058,28.5,280.7017544,22.45614035,14.03508772,4.912280702,0.701754386,4.210526316,0,15.0877193,0,93.68421053,1.052631579,58.24561404,0.049122807,0.221052632,0.073684211,0.266666667,1.052631579,1.052631579,1.052631579,0.350877193,0,0.210526316,0.126315789,0.2,518.9473684,0.042105263,0.701754386,20,0.221052632,354.7368421,65.26315789,0.01754386,3.157894737
mozzarella cheese fat free,159,0,0,0,0,4,1.7,35.8,2,20.3,0.8,68,0.1,0.079,0.011,0.025,0.3,0.1,0,0.055,0,0,0.2,0.018,1085.9,0.077,0.4,37.3,0,741.3,119.8,0.035,4.4,1128.2,107.8,147.4953618,0,0,0,0,3.710575139,1.576994434,33.2096475,1.85528757,18.83116883,0.742115028,63.07977737,0.092764378,0.073283859,0.010204082,0.023191095,0.278293135,0.092764378,0,0.051020408,0,0,0.185528757,0.016697588,1007.328386,0.071428571,0.371057514,34.60111317,0,687.6623377,111.1317254,0.032467532,4.081632653
provolone cheese,463,35.1,22.5,9.8,1,2.8,0.7,33.8,0,91.1,1.2,54.1,0.3,0.013,0.017,0.005,0.4,0.2,0.6,0.052,0,0.028,0.3,0.001,997.9,0.011,0.7,37,0.033,654.7,182.2,0.017,4.3,1070.6,125.8,368.0445151,27.90143084,17.88553259,7.790143084,0.79491256,2.225755167,0.556438792,26.86804452,0,72.41653418,0.953895072,43.00476948,0.238473768,0.010333863,0.013513514,0.003974563,0.317965024,0.158982512,0.476947536,0.041335453,0,0.022257552,0.238473768,0.000794913,793.2432432,0.008744038,0.556438792,29.41176471,0.026232114,520.4292528,144.8330684,0.013513514,3.418124006
anejo cheese,492,39.6,25.1,11.3,1.2,6.1,6.1,28.3,0,138.6,1.5,50.2,0.098,0.069,0.081,0.077,0.3,0.088,0.3,0.011,0,0.032,0.3,0.078,897.6,0.058,0.6,37,0.067,586.1,114.8,0.095,3.9,972.205,124.2,396.1352657,31.88405797,20.20933977,9.098228663,0.966183575,4.911433172,4.911433172,22.78582931,0,111.5942029,1.207729469,40.41867955,0.078904992,0.055555556,0.065217391,0.061996779,0.241545894,0.070853462,0.241545894,0.008856683,0,0.025764895,0.241545894,0.062801932,722.705314,0.046698873,0.483091787,29.79066023,0.05394525,471.900161,92.431562,0.076489533,3.140096618
honey,64,0,0,0,0,17.3,17.2,0.08,0.025,0,0.011,3.6,0,0,0.022,0,0.003,0.012,0.03,0.004,0.1,0,0,0,1.3,0.061,0.017,0.4,0.098,0.8,10.9,0.021,0.008,18.892,20.98,305.0524309,0,0,0,0,82.45948522,81.9828408,0.381315539,0.119161106,0,0.052430887,17.15919924,0,0,0.104861773,0,0.014299333,0.057197331,0.142993327,0.019065777,0.476644423,0,0,0,6.196377502,0.290753098,0.081029552,1.906577693,0.467111535,3.813155386,51.95424214,0.100095329,0.038131554
apple butter,35,0.063,0.038,0.066,0.064,8.5,7.1,0.045,0.3,0,0.003,11.3,0,0.078,0.02,0,0.053,0.092,0.005,0.057,0.1,0,0.06,0.075,2.8,0.085,0.025,0.8,0.093,1.6,18.2,0.078,0.095,11.836,19.908,175.8087201,0.316455696,0.190878039,0.331525015,0.321478802,42.69640346,35.66405465,0.226039783,1.506931887,0,0.015069319,56.76110106,0,0.391802291,0.100462126,0,0.266224633,0.462125779,0.025115531,0.286317058,0.502310629,0,0.301386377,0.376732972,14.06469761,0.426964035,0.125577657,4.018485031,0.467148885,8.036970062,91.42053446,0.391802291,0.477195097
