food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,total_mass_g,Caloric Value_per_100g,Fat_per_100g,Saturated Fats_per_100g,Monounsaturated Fats_per_100g,Polyunsaturated Fats_per_100g,Carbohydrates_per_100g,Sugars_per_100g,Protein_per_100g,Dietary Fiber_per_100g,Cholesterol_per_100g,Sodium_per_100g,Water_per_100g,Vitamin A_per_100g,Vitamin B1_per_100g,Vitamin B11_per_100g,Vitamin B12_per_100g,Vitamin B2_per_100g,Vitamin B3_per_100g,Vitamin B5_per_100g,Vitamin B6_per_100g,Vitamin C_per_100g,Vitamin D_per_100g,Vitamin E_per_100g,Vitamin K_per_100g,Calcium_per_100g,Copper_per_100g,Iron_per_100g,Magnesium_per_100g,Manganese_per_100g,Phosphorus_per_100g,Potassium_per_100g,Selenium_per_100g,Zinc_per_100g
pineapples canned,28,0.05,0.079,0.039,0.078,7.4,6.8,0.2,0.4,0,0.06,39.2,0,0.066,0.041,0,0.03,0.1,0.087,0.068,4.5,0,0.048,0.016,6.6,0.026,0.1,6.6,0.5,2.8,57.3,0.047,0.092,19.255,46.85,59.76520811,0.106723586,0.168623266,0.083244397,0.166488794,15.79509072,14.51440768,0.426894344,0.853788687,0,0.128068303,83.67129136,0,0.140875133,0.08751334,0,0.064034152,0.213447172,0.185699039,0.145144077,9.605122732,0,0.102454642,0.034151547,14.08751334,0.055496265,0.213447172,14.08751334,1.067235859,5.976520811,122.3052295,0.100320171,0.196371398
prune plums canned,27,0.075,0.006,0.035,0.096,7,6.5,0.2,0.4,0,0.055,38.6,0,0.082,0.034,0,0.068,0.2,0.01,0.056,1.3,0,0.065,0.093,4.6,0.06,0.2,3.7,0.025,6.9,70.8,0,0.06,13.728,45.875,58.85558583,0.163487738,0.013079019,0.076294278,0.209264305,15.25885559,14.16893733,0.435967302,0.871934605,0,0.119891008,84.14168937,0,0.178746594,0.074114441,0,0.148228883,0.435967302,0.021798365,0.122070845,2.833787466,0,0.141689373,0.202724796,10.02724796,0.130790191,0.435967302,8.065395095,0.054495913,15.04087193,154.3324251,0,0.130790191
tangerines canned,92,0.1,0.087,0.086,0.04,23.8,22.1,1.5,1.7,0,0.022,222.9,0,0.2,0.053,0,0.038,1.1,0.3,0.1,85.2,0,0.2,0,27.4,0.085,0.7,27.4,0.044,24.9,331.2,0.058,1.3,140.389,248.3,37.05195328,0.040273862,0.03503826,0.034635522,0.016109545,9.585179219,8.90052356,0.604107934,0.684655658,0,0.00886025,89.77043899,0,0.080547725,0.021345147,0,0.015304068,0.443012485,0.120821587,0.040273862,34.31333065,0,0.080547725,0,11.03503826,0.034232783,0.281917036,11.03503826,0.017720499,10.0281917,133.3870318,0.02335884,0.523560209
fruit cocktail canned,109,0.053,0.03,0.04,0.042,28.1,25.7,1.1,2.4,0,0.059,207.2,0,0.023,0.003,0,0.056,1,0.1,0.1,6.4,0,0.9,0.021,19,0.1,0.5,16.6,0.3,33.2,225.2,0.075,0.2,57.508,236.453,46.09795604,0.022414602,0.012687511,0.016916681,0.017762515,11.88396848,10.86896762,0.465208731,1.015000867,0,0.024952105,87.62840818,0,0.009727092,0.001268751,0,0.023683354,0.422917028,0.042291703,0.042291703,2.706668979,0,0.380625325,0.008881258,8.03542353,0.042291703,0.211458514,7.020422663,0.126875108,14.04084533,95.24091468,0.031718777,0.084583406
sour cherries canned,189,0.3,0.007,0.033,0.087,48.6,0,1.9,2,0,0.073,200.6,0,0.024,0.088,0,0.009,0.4,0.3,0.1,5,0,0,0,25.2,0.2,3.3,15.1,0.2,25.2,239.4,0,0.2,86.3,251.4,75.17899761,0.119331742,0.002784407,0.013126492,0.034606205,19.33174224,0,0.755767701,0.795544948,0,0.029037391,79.79315831,0,0.009546539,0.035003978,0,0.003579952,0.15910899,0.119331742,0.039777247,1.988862371,0,0,0,10.02386635,0.079554495,1.312649165,6.00636436,0.079554495,10.02386635,95.22673031,0,0.079554495
mangosteen canned,143,1.1,0,0,0,35.1,0,0.8,3.5,0,0.024,158.6,0,0.1,0.074,0,0.1,0.6,0.057,0.089,5.7,0,0,0,23.5,0.1,0.6,25.5,0.2,15.7,94.1,0,0.4,70.3,195.6,73.10838446,0.562372188,0,0,0,17.94478528,0,0.408997955,1.789366053,0,0.012269939,81.08384458,0,0.051124744,0.037832311,0,0.051124744,0.306748466,0.029141104,0.045501022,2.914110429,0,0,0,12.01431493,0.051124744,0.306748466,13.03680982,0.102249489,8.026584867,48.10838446,0,0.204498978
apricot juice,117,0.07,0.008,0.048,0.065,30.1,26.2,1.5,3.9,0,0.024,211.4,0,0,0.048,0.043,0,0.025,0.8,0.2,0.1,12,0,1.5,0.053,29.3,0.1,0.7,24.4,0.1,48.8,402.6,0.028,35.804,243.07,48.13428231,0.028798289,0.003291233,0.019747398,0.026741268,12.38326408,10.778788,0.617106183,1.604476077,0,0.009873699,86.97083145,0,0,0.019747398,0.017690377,0,0.010285103,0.329123298,0.082280824,0.041140412,4.936849467,0,0.617106183,0.021804418,12.05414078,0.041140412,0.287982886,10.03826058,0.041140412,20.07652117,165.6312996,0.011519315
strawberries canned,234,0.7,0.064,0.03,0.3,59.8,55.4,1.4,4.3,0,0.024,191.4,0,0.024,0.008,0,0.051,0.1,0.5,0.1,80.5,0,0.5,0.091,33,0.2,1.2,20.3,0.5,30.5,218.4,0.007,0.2,180.9,253.3,92.38057639,0.276352152,0.025266482,0.011843664,0.118436636,23.60836952,21.87129886,0.552704303,1.697591788,0,0.009474931,75.56257402,0,0.009474931,0.00315831,0,0.020134228,0.039478879,0.197394394,0.039478879,31.78049743,0,0.197394394,0.03592578,13.02803,0.078957758,0.473746546,8.014212396,0.197394394,12.04105803,86.2218713,0.002763522,0.078957758
peach canned,110,0.094,0.03,0.026,0.067,28.9,25.7,1.6,3.3,0,0.006,218.7,0,0.004,0.026,0,0.034,1.5,0.1,0.071,9,0,1.2,0.088,15,0.1,0.7,17.5,0.1,42.5,320,0.04,0.3,58.587,249.294,44.12460789,0.037706483,0.012033984,0.010429453,0.026875898,11.59273789,10.30911293,0.641812478,1.323738237,0,0.002406797,87.72774315,0,0.001604531,0.010429453,0,0.013638515,0.601699199,0.04011328,0.028480429,3.610195191,0,0.481359359,0.035299686,6.016991985,0.04011328,0.280792959,7.019823983,0.04011328,17.04814396,128.3624957,0.016045312,0.12033984
fruit salad canned,125,0.008,0.08,0.005,0.006,32.5,0,1.3,2.5,0,0.069,214.5,0,0.016,0.02,0,0.027,0.9,0.1,0.059,8.2,0,0,0,27.4,0.1,0.6,19.9,0.4,34.9,288.8,0,0.3,72.531,248.308,50.3407059,0.003221805,0.032218052,0.002013628,0.002416354,13.08858353,0,0.523543341,1.006814118,0,0.02778807,86.38465132,0,0.00644361,0.008054513,0,0.010873592,0.362453082,0.040272565,0.023760813,3.302350307,0,0,0,11.03468273,0.040272565,0.241635388,8.014240379,0.161090259,14.05512509,116.3071669,0,0.120817694
